Local, Region, Total_Case, Population
Asia,Afghanistan,177897.0,39835428.0
Europe,Albania,273913.0,2872934.0
Africa,Algeria,265694.0,44616626.0
Europe,Andorra,40024.0,77354.0
Africa,Angola,99194.0,33933611.0
North America,Anguilla,2700.0,15125.0
North America,Antigua and Barbuda,7493.0,98728.0
South America,Argentina,9043098.0,45605823.0
Asia,Armenia,422581.0,2968128.0
North America,Aruba,34051.0,107195.0
Oceania,Australia,4772414.0,25788217.0
Europe,Austria,3899660.0,9043072.0
Asia,Azerbaijan,792067.0,10223344.0
North America,Bahamas,33313.0,396914.0
Asia,Bahrain,556763.0,1748295.0
Asia,Bangladesh,1951831.0,166303494.0
North America,Barbados,60160.0,287708.0
Europe,Belarus,965654.0,9442867.0
Europe,Belgium,3881523.0,11632334.0
North America,Belize,57303.0,404915.0
Africa,Benin,26952.0,12451031.0
North America,Bermuda,12564.0,62092.0
Asia,Bhutan,31927.0,779900.0
South America,Bolivia,902497.0,11832936.0
North America,Bonaire Sint Eustatius and Saba,8851.0,26445.0
Europe,Bosnia and Herzegovina,375735.0,3263459.0
Africa,Botswana,305526.0,2397240.0
South America,Brazil,30015357.0,213993441.0
North America,British Virgin Islands,6155.0,30423.0
Asia,Brunei,136374.0,441532.0
Europe,Bulgaria,1141859.0,6896655.0
Africa,Burkina Faso,20858.0,21497097.0
Africa,Burundi,38588.0,12255429.0
Asia,Cambodia,135782.0,16946446.0
Africa,Cameroon,119544.0,27224262.0
North America,Canada,3509426.0,38067913.0
Africa,Cape Verde,55961.0,561901.0
North America,Cayman Islands,20606.0,66498.0
Africa,Central African Republic,14649.0,4919987.0
Africa,Chad,7347.0,16914985.0
South America,Chile,3489913.0,19212362.0
Asia,China,287548.0,1444216102.0
South America,Colombia,6086233.0,51265841.0
Africa,Comoros,8093.0,888456.0
Africa,Congo,24071.0,5657017.0
Oceania,Cook Islands,2526.0,17572.0
North America,Costa Rica,839368.0,5139053.0
Africa,Cote d'Ivoire,81771.0,27053629.0
Europe,Croatia,1102827.0,4081657.0
North America,Cuba,1093166.0,11317498.0
North America,Curacao,40671.0,164796.0
Europe,Cyprus,444174.0,896005.0
Europe,Czechia,3838868.0,10724553.0
Africa,Democratic Republic of Congo,86748.0,92377986.0
Europe,Denmark,3068971.0,5813302.0
Africa,Djibouti,15590.0,1002197.0
North America,Dominica,11891.0,72172.0
North America,Dominican Republic,578209.0,10953714.0
South America,Ecuador,862321.0,17888474.0
Africa,Egypt,509177.0,104258327.0
North America,El Salvador,161570.0,6518500.0
Africa,Equatorial Guinea,16000.0,1449891.0
Africa,Eritrea,9728.0,3601462.0
Europe,Estonia,559133.0,1325188.0
Africa,Eswatini,69862.0,1172369.0
Africa,Ethiopia,469843.0,117876226.0
Europe,Faeroe Islands,34658.0,49053.0
South America,Falkland Islands,124.0,3528.0
Oceania,Fiji,64425.0,902899.0
Europe,Finland,901336.0,5548361.0
Europe,France,26083223.0,67422000.0
Oceania,French Polynesia,72386.0,282534.0
Africa,Gabon,47588.0,2278829.0
Africa,Gambia,11989.0,2486937.0
Asia,Georgia,1649430.0,3979773.0
Europe,Germany,21706329.0,83900471.0
Africa,Ghana,160971.0,31732128.0
Europe,Gibraltar,17110.0,33691.0
Europe,Greece,3096135.0,10370747.0
North America,Greenland,11971.0,56868.0
North America,Grenada,14024.0,113015.0
North America,Guatemala,831149.0,18249868.0
Africa,Guinea,36459.0,13497237.0
Africa,Guinea-Bissau,8151.0,2015490.0
South America,Guyana,63273.0,790329.0
North America,Haiti,30567.0,11541683.0
North America,Honduras,421121.0,10062994.0
Asia,Hong Kong,1174560.0,7552800.0
Europe,Hungary,1854198.0,9634162.0
Europe,Iceland,181830.0,368792.0
Asia,India,43029839.0,1393409033.0
Asia,Indonesia,6015748.0,276361788.0
Asia,Iran,7171165.0,85028760.0
Asia,Iraq,2320526.0,41179351.0
Europe,Ireland,1474374.0,4982904.0
Europe,Isle of Man,28890.0,85410.0
Asia,Israel,3957492.0,9291000.0
Europe,Italy,14877144.0,60367471.0
North America,Jamaica,128869.0,2973462.0
Asia,Japan,6730654.0,126050796.0
Asia,Jordan,1694216.0,10269022.0
Asia,Kazakhstan,1393919.0,18994958.0
Africa,Kenya,323468.0,54985702.0
Oceania,Kiribati,3067.0,121388.0
Europe,Kosovo,227579.0,1782115.0
Asia,Kuwait,629525.0,4328553.0
Asia,Kyrgyzstan,200968.0,6628347.0
Asia,Laos,184598.0,7379358.0
Europe,Latvia,802887.0,1866934.0
Asia,Lebanon,1093267.0,6769151.0
Africa,Lesotho,32910.0,2159067.0
Africa,Liberia,7400.0,5180208.0
Africa,Libya,501738.0,6958538.0
Europe,Liechtenstein,16429.0,38254.0
Europe,Lithuania,1031739.0,2689862.0
Europe,Luxembourg,219390.0,634814.0
Asia,Macao,82.0,658391.0
Africa,Madagascar,64050.0,28427333.0
Africa,Malawi,85664.0,19647681.0
Asia,Malaysia,4256469.0,32776195.0
Asia,Maldives,177665.0,543620.0
Africa,Mali,30506.0,20855724.0
Europe,Malta,82126.0,516100.0
Oceania,Marshall Islands,7.0,59618.0
Africa,Mauritania,58705.0,4775110.0
Africa,Mauritius,210343.0,1273428.0
North America,Mexico,5666921.0,130262220.0
Oceania,Micronesia (country),1.0,116255.0
Europe,Moldova,514222.0,4024025.0
Europe,Monaco,10872.0,39520.0
Asia,Mongolia,919544.0,3329282.0
Europe,Montenegro,233365.0,628051.0
North America,Montserrat,175.0,4981.0
Africa,Morocco,1163561.0,37344787.0
Africa,Mozambique,225267.0,32163045.0
Asia,Myanmar,611926.0,54806014.0
Africa,Namibia,157764.0,2587344.0
Asia,Nepal,978507.0,29674920.0
Europe,Netherlands,8014973.0,17173094.0
Oceania,New Caledonia,60425.0,288217.0
Oceania,New Zealand,717650.0,5126300.0
North America,Nicaragua,18434.0,6702379.0
Africa,Niger,8811.0,25130810.0
Africa,Nigeria,255468.0,211400704.0
Europe,North Macedonia,306711.0,2082661.0
Europe,Norway,1410051.0,5465629.0
Asia,Oman,388500.0,5223376.0
Asia,Pakistan,1525775.0,225199929.0
Oceania,Palau,4042.0,18174.0
Asia,Palestine,656287.0,5222756.0
North America,Panama,765337.0,4381583.0
Oceania,Papua New Guinea,43374.0,9119005.0
South America,Paraguay,648353.0,7219641.0
South America,Peru,3548717.0,33359415.0
Asia,Philippines,3679761.0,111046910.0
Europe,Poland,5970114.0,37797000.0
Europe,Portugal,3609846.0,10167923.0
Asia,Qatar,362007.0,2930524.0
Europe,Romania,2861426.0,19127772.0
Europe,Russia,17651048.0,145912022.0
Africa,Rwanda,129733.0,13276517.0
Africa,Saint Helena,4.0,6095.0
North America,Saint Kitts and Nevis,5549.0,53546.0
North America,Saint Lucia,22965.0,184401.0
North America,Saint Pierre and Miquelon,2236.0,5771.0
North America,Saint Vincent and the Grenadines,8335.0,111269.0
Oceania,Samoa,2622.0,200144.0
Europe,San Marino,15345.0,34010.0
Africa,Sao Tome and Principe,5948.0,223364.0
Asia,Saudi Arabia,751180.0,35340680.0
Africa,Senegal,85920.0,17196308.0
Europe,Serbia,1982193.0,6871547.0
Africa,Seychelles,40866.0,98910.0
Africa,Sierra Leone,7675.0,8141343.0
Asia,Singapore,1109744.0,5453600.0
Europe,Slovakia,2462300.0,5449270.0
Europe,Slovenia,974694.0,2078723.0
Oceania,Solomon Islands,11470.0,703995.0
Africa,Somalia,26410.0,16359500.0
Africa,South Africa,3722954.0,60041996.0
Asia,South Korea,14267401.0,51305184.0
Africa,South Sudan,17301.0,11381377.0
Europe,Spain,11551574.0,46745211.0
Asia,Sri Lanka,662103.0,21497306.0
Africa,Sudan,61966.0,44909351.0
South America,Suriname,79236.0,591798.0
Europe,Sweden,2487852.0,10160159.0
Europe,Switzerland,3507309.0,8715494.0
Asia,Syria,55718.0,18275704.0
Asia,Taiwan,24588.0,23855008.0
Asia,Tajikistan,17786.0,9749625.0
Africa,Tanzania,33815.0,61498438.0
Asia,Thailand,3757575.0,69950844.0
Asia,Timor,22832.0,1343875.0
Africa,Togo,36945.0,8478242.0
Oceania,Tonga,7234.0,106759.0
North America,Trinidad and Tobago,138793.0,1403374.0
Africa,Tunisia,1035884.0,11935764.0
Asia,Turkey,14907378.0,85042736.0
North America,Turks and Caicos Islands,5910.0,39226.0
Africa,Uganda,163949.0,47123533.0
Europe,Ukraine,5040518.0,43466822.0
Asia,United Arab Emirates,892470.0,9991083.0
Europe,United Kingdom,21428717.0,68207114.0
North America,United States,81495644.0,332915074.0
South America,Uruguay,890140.0,3485152.0
Asia,Uzbekistan,237888.0,33935765.0
Oceania,Vanuatu,4431.0,314464.0
Europe,Vatican,29.0,812.0
South America,Venezuela,520905.0,28704947.0
Asia,Vietnam,9867045.0,98168829.0
Oceania,Wallis and Futuna,454.0,11094.0
Asia,Yemen,11808.0,30490639.0
Africa,Zambia,317110.0,18920657.0
Africa,Zimbabwe,246612.0,15092171.0
